Chord kind,Formula from root,Root-position 31-EDO steps,Root position,1st inversion,2nd inversion,3rd inversion,4th inversion,5th inversion,6th inversion
Major 9 sharp 11,P1-M3-P5-M7-9-#11,"[0, 10, 18, 28, 36, 46]","[0, 10, 18, 28, 36, 46]","[0, 8, 18, 21, 26, 36]","[0, 10, 13, 18, 23, 28]","[0, 3, 8, 13, 18, 21]","[0, 5, 10, 15, 18, 28]","[0, 5, 10, 13, 23, 26]",
Dominant 9 sharp 11,P1-M3-P5-b7-9-#11,"[0, 10, 18, 26, 36, 46]","[0, 10, 18, 26, 36, 46]","[0, 8, 16, 21, 26, 36]","[0, 8, 13, 18, 23, 28]","[0, 5, 10, 15, 20, 23]","[0, 5, 10, 15, 18, 26]","[0, 5, 10, 13, 21, 26]",
Dominant 13,P1-M3-P5-b7-9-13,"[0, 10, 18, 26, 36, 54]","[0, 10, 18, 26, 36, 54]","[0, 8, 16, 21, 26, 44]","[0, 8, 13, 18, 23, 36]","[0, 5, 10, 15, 23, 28]","[0, 5, 10, 18, 23, 26]","[0, 5, 13, 18, 21, 26]",
Major 13,P1-M3-P5-M7-9-13,"[0, 10, 18, 28, 36, 54]","[0, 10, 18, 28, 36, 54]","[0, 8, 18, 21, 26, 44]","[0, 10, 13, 18, 23, 36]","[0, 3, 8, 13, 21, 26]","[0, 5, 10, 18, 23, 28]","[0, 5, 13, 18, 23, 26]",
Minor 13,P1-b3-P5-b7-9-11-13,"[0, 8, 18, 26, 36, 44, 54]","[0, 8, 18, 26, 36, 44, 54]","[0, 10, 18, 23, 28, 36, 46]","[0, 8, 13, 18, 21, 26, 36]","[0, 5, 10, 13, 18, 23, 28]","[0, 5, 8, 13, 18, 23, 26]","[0, 3, 8, 13, 18, 21, 26]","[0, 5, 10, 15, 18, 23, 28]"
Dominant 13 flat 9,P1-M3-P5-b7-b9-13,"[0, 10, 18, 26, 34, 54]","[0, 10, 18, 26, 34, 54]","[0, 8, 16, 21, 24, 44]","[0, 8, 13, 16, 23, 36]","[0, 5, 8, 15, 23, 28]","[0, 3, 10, 18, 23, 26]","[0, 7, 15, 20, 23, 28]",
Dominant 13 flat 9 sharp 11,P1-M3-P5-b7-b9-#11-13,"[0, 10, 18, 26, 34, 46, 54]","[0, 10, 18, 26, 34, 46, 54]","[0, 8, 16, 21, 24, 36, 44]","[0, 8, 13, 16, 23, 28, 36]","[0, 5, 8, 15, 20, 23, 28]","[0, 3, 10, 15, 18, 23, 26]","[0, 7, 12, 15, 20, 23, 28]","[0, 5, 8, 13, 16, 21, 24]"
Altered dominant 7alt core,P1-M3-b7-b9-#9-b5-#5,"[0, 10, 26, 34, 38, 16, 20]","[0, 10, 16, 20, 26, 34, 38]","[0, 6, 10, 16, 21, 24, 28]","[0, 4, 10, 15, 18, 22, 25]","[0, 6, 11, 14, 18, 21, 27]","[0, 5, 8, 12, 15, 21, 25]","[0, 3, 7, 10, 16, 20, 26]","[0, 4, 7, 13, 17, 23, 28]"
Italian augmented sixth,P1-M3-#6,"[0, 10, 25]","[0, 10, 25]","[0, 15, 21]","[0, 6, 16]",,,,
French augmented sixth,P1-M3-#4-#6,"[0, 10, 15, 25]","[0, 10, 15, 25]","[0, 5, 15, 21]","[0, 10, 16, 26]","[0, 6, 16, 21]",,,
German augmented sixth,P1-M3-P5-#6,"[0, 10, 18, 25]","[0, 10, 18, 25]","[0, 8, 15, 21]","[0, 7, 13, 23]","[0, 6, 16, 24]",,,
